Date,Change %
"May 08, 2018",0.93%
"May 07, 2018",-0.43%
"May 04, 2018",1.58%
"May 03, 2018",0.20%
"May 02, 2018",-1.68%
"Apr 30, 2018",0.99%
"Apr 27, 2018",2.26%
"Apr 26, 2018",1.18%
"Apr 25, 2018",-1.07%
"Apr 24, 2018",0.63%
"Apr 23, 2018",-0.13%
"Apr 20, 2018",0.68%
"Apr 19, 2018",-0.76%
"Apr 18, 2018",-1.14%
"Apr 17, 2018",1.15%
"Apr 16, 2018",0.21%
"Apr 13, 2018",0.24%
"Apr 12, 2018",0.03%
"Apr 11, 2018",-0.50%
"Apr 10, 2018",0.71%
"Apr 09, 2018",0.00%
"Apr 06, 2018",-0.13%
"Apr 05, 2018",2.01%
"Apr 04, 2018",1.83%
"Apr 03, 2018",0.03%
"Mar 29, 2018",0.71%
"Mar 28, 2018",3.76%
"Mar 27, 2018",0.43%
"Mar 26, 2018",-0.71%
"Mar 23, 2018",-2.01%
"Mar 22, 2018",-0.44%
"Mar 21, 2018",-0.72%
"Mar 20, 2018",0.30%
"Mar 19, 2018",0.58%
"Mar 16, 2018",0.17%
"Mar 15, 2018",-0.08%
"Mar 14, 2018",0.03%
"Mar 13, 2018",-1.07%
"Mar 12, 2018",0.08%
"Mar 09, 2018",0.69%
"Mar 08, 2018",2.76%
"Mar 07, 2018",0.77%
"Mar 06, 2018",-0.43%
"Mar 05, 2018",2.25%
"Mar 02, 2018",-1.27%
"Mar 01, 2018",-2.12%
"Feb 28, 2018",-0.25%
"Feb 27, 2018",-1.66%
"Feb 26, 2018",1.01%
"Feb 23, 2018",1.85%
"Feb 22, 2018",0.60%
"Feb 21, 2018",-0.68%
"Feb 20, 2018",0.06%
"Feb 19, 2018",-0.74%
"Feb 16, 2018",1.20%
"Feb 15, 2018",-0.34%
"Feb 14, 2018",0.17%
"Feb 13, 2018",-0.79%
"Feb 12, 2018",2.35%
"Feb 09, 2018",0.32%
"Feb 08, 2018",-2.16%
"Feb 07, 2018",2.12%
"Feb 06, 2018",-2.85%
"Feb 05, 2018",-2.02%
"Feb 02, 2018",-0.36%
"Feb 01, 2018",-0.98%
"Jan 31, 2018",0.49%
"Jan 30, 2018",-0.11%
"Jan 29, 2018",-0.11%
"Jan 26, 2018",0.44%
"Jan 25, 2018",-1.25%
"Jan 24, 2018",-1.15%
"Jan 23, 2018",0.38%
"Jan 22, 2018",-0.13%
"Jan 19, 2018",1.31%
"Jan 18, 2018",-0.54%
"Jan 17, 2018",0.19%
"Jan 16, 2018",-0.22%
"Jan 15, 2018",0.22%
"Jan 12, 2018",-0.32%
"Jan 11, 2018",-1.20%
"Jan 10, 2018",-0.74%
"Jan 09, 2018",0.83%
"Jan 08, 2018",-0.08%
