Date,Change %
"Nov 09, 2016",-1.68%
"Nov 08, 2016",0.76%
"Nov 07, 2016",0.21%
"Nov 04, 2016",2.17%
"Nov 03, 2016",0.00%
"Nov 02, 2016",-0.92%
"Nov 01, 2016",0.03%
"Oct 31, 2016",-1.78%
"Oct 28, 2016",0.12%
"Oct 27, 2016",0.27%
"Oct 26, 2016",-0.18%
"Oct 25, 2016",-0.42%
"Oct 24, 2016",-0.51%
"Oct 21, 2016",-0.21%
"Oct 20, 2016",-0.45%
"Oct 19, 2016",-0.12%
"Oct 18, 2016",1.29%
"Oct 17, 2016",-0.92%
"Oct 14, 2016",3.16%
"Oct 13, 2016",-0.49%
"Oct 12, 2016",-0.30%
"Oct 11, 2016",-0.39%
"Oct 10, 2016",0.89%
"Oct 07, 2016",-0.91%
"Oct 06, 2016",-0.87%
"Oct 05, 2016",-2.44%
"Oct 04, 2016",1.25%
"Oct 03, 2016",0.09%
"Sep 30, 2016",0.27%
"Sep 29, 2016",-0.47%
"Sep 28, 2016",0.54%
"Sep 27, 2016",0.54%
"Sep 26, 2016",-1.39%
"Sep 23, 2016",-0.41%
"Sep 22, 2016",2.17%
"Sep 21, 2016",-0.15%
"Sep 20, 2016",-0.15%
"Sep 19, 2016",1.22%
"Sep 16, 2016",-0.84%
"Sep 15, 2016",0.67%
"Sep 14, 2016",-0.36%
"Sep 13, 2016",-1.05%
"Sep 12, 2016",0.06%
"Sep 09, 2016",-1.94%
"Sep 08, 2016",-1.76%
"Sep 07, 2016",-0.14%
"Sep 06, 2016",0.00%
"Sep 05, 2016",-0.46%
"Sep 02, 2016",3.50%
"Sep 01, 2016",-0.41%
"Aug 31, 2016",-1.05%
"Aug 30, 2016",-0.20%
"Aug 29, 2016",0.12%
"Aug 26, 2016",0.38%
"Aug 25, 2016",0.00%
"Aug 24, 2016",0.00%
"Aug 23, 2016",-0.18%
"Aug 22, 2016",-0.44%
"Aug 19, 2016",-0.58%
"Aug 18, 2016",-0.63%
"Aug 17, 2016",-0.43%
"Aug 16, 2016",-0.65%
"Aug 15, 2016",-0.03%
"Aug 12, 2016",0.09%
"Aug 11, 2016",1.50%
"Aug 10, 2016",-0.63%
"Aug 09, 2016",1.75%
"Aug 08, 2016",-0.49%
"Aug 05, 2016",0.79%
"Aug 04, 2016",0.74%
"Aug 03, 2016",-0.53%
"Aug 02, 2016",0.00%
"Aug 01, 2016",0.00%
"Jul 29, 2016",-2.69%
"Jul 28, 2016",-0.71%
"Jul 27, 2016",0.23%
"Jul 26, 2016",0.34%
"Jul 25, 2016",0.37%
"Jul 22, 2016",0.69%
"Jul 21, 2016",-0.66%
"Jul 20, 2016",1.48%
"Jul 19, 2016",-1.09%
"Jul 18, 2016",-0.32%
"Jul 15, 2016",0.23%
